Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Guacarì,2007,0,531,"1,320,000","2,600",840
Jamundì,2007,68,"1,620","726,000",250,"1,173"
La Cumbre,2007,0,756,0,616,"1,628"
La Unión,2007,0,466,"121,800",840,550
La Victoria,2007,1,665,"112,200","8,900","1,698"
Obando,2007,3,"1,289","229,600","3,132","5,168"
Palmira,2007,0,288,"3,717,720","203,148","2,160"
Pradera,2007,0,172,"1,148,505",0,100
Restrepo,2007,0,"1,280",0,"14,130","3,180"
Riofrìo,2007,21,"3,600","362,600","4,500","16,268"
Roldanillo,2007,6,596,"196,000","1,600",680
San Pedro,2007,0,312,"575,640","27,300","1,395"
Sevilla,2007,0,"8,284",0,"9,000","12,960"
Toro,2007,0,"3,330","91,350",0,"1,981"
Trujillo,2007,5,"7,200","13,200",200,"6,300"
Tuluà,2007,84,"3,900","1,551,000",0,800
Ulloa,2007,0,800,0,0,"1,310"
Versalles,2007,0,637,0,"20,750","2,520"
Vijes,2007,0,870,0,450,780
Yotoco,2007,0,"2,776","328,300",588,"4,710"
Yumbo,2007,0,207,"154,550",590,240
Zarzal,2007,0,0,"1,950,000",720,182
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2006,0,271,"539,000",0,"1,440"
Alcalà,2006,0,"1,841",0,0,"6,372"
Andalucia,2006,3,322,"575,640","1,950",500
Ansermanuevo,2006,2,"7,202","219,445","4,560","3,800"
Argelia,2006,3,"2,375",0,"3,150","21,210"
Bolivar,2006,20,"1,256","16,368","22,400","3,770"
Buenaventura,2006,0,0,0,"8,400",770
Buga,2006,0,591,"761,055","6,399","5,316"
Bugalagrande,2006,5,"1,878","1,330,000","21,000","2,296"
Caicedonia,2006,0,"6,374",0,"1,365","21,299"
Candelaria,2006,0,0,"205,700","61,200",100
Cartago,2006,0,511,"231,210","3,909","1,827"
Dagua,2006,15,"1,078",0,"23,970","4,345"
Darièn,2006,0,315,0,"9,360","1,200"
El Aguila,2006,24,"6,610",0,"5,500","2,880"
El Cairo,2006,0,"3,670",0,"1,956","6,364"
El Cerrito,2006,0,77,"1,269,000","11,680",200
El Dovio,2006,0,"1,232",0,"13,500","1,480"
Florida,2006,9,559,"1,311,180","9,200",286
Ginebra,2006,0,587,"254,540",315,828
Guacarì,2006,0,527,"1,320,000","2,600",840
Jamundì,2006,77,"1,694","716,320","2,000","1,260"
La Cumbre,2006,0,907,0,613,"1,820"
La Unión,2006,0,468,"121,800",870,550
La Victoria,2006,1,664,"112,200","8,900","1,680"
Obando,2006,2,453,"235,200","4,400","3,920"
Palmira,2006,0,303,"3,717,720","203,148","2,550"
Pradera,2006,0,172,"1,148,505",0,100
Restrepo,2006,0,"1,092",0,"13,905","3,150"
Riofrìo,2006,8,"3,154","342,360","4,200","9,800"
Roldanillo,2006,6,606,"184,800","1,600",680
San Pedro,2006,0,301,"570,720","29,250","1,575"
Sevilla,2006,0,"8,273",0,"9,000","14,840"
Toro,2006,0,"2,827","91,350","1,260","1,960"
Trujillo,2006,5,"4,430","11,000",300,"5,850"
Tuluà,2006,46,"3,521","1,331,000","14,400","6,000"
Ulloa,2006,0,"1,053",0,0,"1,100"
Versalles,2006,0,968,0,"20,000","2,380"
Vijes,2006,0,710,0,315,"1,080"
Yotoco,2006,0,"1,604","343,000",361,"4,812"
Yumbo,2006,0,201,"148,500",767,184
Zarzal,2006,0,0,"1,091,265","1,200",299
Municipios,AÑO,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2005,0,276,"548,937",0,"1,243"
Alcalà,2005,2,"3,019",0,669,"2,745"
Andalucia,2005,3,207,"575,562",710,428
Ansermanuevo,2005,3,"6,327","251,868","4,800","3,719"
Argelia,2005,0,"1,739",0,"3,060","21,084"
Bolivar,2005,20,"1,182","17,275","22,400","3,250"
Buenaventura,2005,0,0,0,"9,503","1,523"
Buga,2005,0,767,"770,157","5,925","5,184"
Bugalagrande,2005,2,"1,424","1,133,748","20,880","2,624"
Caicedonia,2005,0,"7,719",0,"1,365","10,421"
Candelaria,2005,0,0,"2,052,146","69,000",74
Cartago,2005,0,404,"238,305",322,"1,827"
Dagua,2005,9,867,0,"21,620","5,000"
Darièn,2005,0,520,0,"8,784","1,200"
El Aguila,2005,24,"7,239",0,"4,950","2,800"
El Cairo,2005,0,"3,035",0,"1,956","6,364"
El Cerrito,2005,0,94,"1,092,845","10,400",200
El Dovio,2005,0,502,0,"9,720","1,615"
Florida,2005,8,359,"1,310,679","9,200","3,053"
Ginebra,2005,0,501,"254,539",315,"1,105"
Guacarì,2005,0,674,"1,139,229","2,400",875
Jamundì,2005,68,767,"449,064","2,000","1,001"
La Cumbre,2005,0,439,0,613,"1,785"
La Unión,2005,0,611,"96,917",510,673
La Victoria,2005,2,209,"112,220","5,100","1,680"
Obando,2005,1,539,"235,165","3,300","3,912"
Palmira,2005,0,209,"3,466,165","1,620","6,155"
Pradera,2005,0,86,"1,148,574",0,100
Restrepo,2005,0,815,0,"13,410","3,090"
Riofrìo,2005,25,"3,780","363,986","4,488","9,800"
Roldanillo,2005,6,723,"184,632","1,600",840
San Pedro,2005,0,350,"599,127","30,225","1,647"
Sevilla,2005,0,"10,030",0,"10,400","14,560"
Toro,2005,0,"1,964","96,302","1,260","1,960"
Trujillo,2005,3,"4,890","12,797",400,"5,130"
Tuluà,2005,10,"2,249","1,249,548","7,500","4,000"
Ulloa,2005,0,"1,355",0,0,985
Versalles,2005,0,"1,187",0,"17,325","2,412"
Vijes,2005,0,389,0,167,"1,064"
Yotoco,2005,0,"1,466","309,708",333,"5,348"
Yumbo,2005,0,196,"138,173",767,188
Zarzal,2005,0,0,"1,074,255",640,140
Municipios,AÑO,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2004,0,718,"522,797",0,"1,043"
Alcalà,2004,2,"1,605",0,302,838
Andalucia,2004,3,246,"548,154",710,248
Ansermanuevo,2004,0,"6,272","199,221","6,120","3,662"
Argelia,2004,0,"3,311",0,"1,530","7,554"
Bolivar,2004,19,"1,746","16,178","22,080","3,522"
Buenaventura,2004,0,0,0,"10,083",862
Buga,2004,0,"1,074","733,483","5,175","4,994"
Bugalagrande,2004,2,"2,055","1,079,760","14,700","3,240"
Caicedonia,2004,0,"6,795",0,"1,260","16,016"
Candelaria,2004,0,0,"1,954,425","75,000",74
Cartago,2004,0,762,"226,958","3,385","1,883"
Dagua,2004,11,"1,441",0,"7,497","8,390"
Darièn,2004,0,691,0,"8,784","2,111"
El Aguila,2004,17,"8,013",0,"2,695","2,106"
El Cairo,2004,0,"4,687",0,"1,956","6,166"
El Cerrito,2004,0,188,"1,040,805","10,400",875
El Dovio,2004,0,"1,471",0,"9,720","1,766"
Florida,2004,8,896,"1,248,266","9,200","3,135"
Ginebra,2004,0,864,"220,380",294,"1,043"
Guacarì,2004,0,690,"1,084,980","2,840","2,639"
Jamundì,2004,17,935,"427,680","1,720",505
La Cumbre,2004,0,"1,308",0,"1,128","1,750"
La Unión,2004,0,575,"75,820",510,673
La Victoria,2004,2,945,"106,876","5,160","1,669"
Obando,2004,0,"1,411","223,966","3,575","4,632"
Palmira,2004,0,410,"3,330,067","1,770","6,155"
Pradera,2004,0,347,"1,093,880",0,134
Restrepo,2004,0,"1,642",0,"13,185","2,879"
Riofrìo,2004,23,"3,653","343,530","4,420","9,081"
Roldanillo,2004,2,615,"175,840","1,238",875
San Pedro,2004,0,417,"570,622","30,225","1,647"
Sevilla,2004,0,"15,724",0,"7,100","10,951"
Toro,2004,0,"1,944","65,027","1,260","2,199"
Trujillo,2004,0,"4,877","12,188","1,200","4,266"
Tuluà,2004,2,"3,700","1,081,860","4,100","3,856"
Ulloa,2004,0,"1,359",0,0,972
Versalles,2004,0,"1,284",0,"17,325","2,412"
Vijes,2004,0,788,0,173,665
Yotoco,2004,0,"1,770","299,876",114,"5,207"
Yumbo,2004,0,479,"131,593",649,184
Zarzal,2004,0,0,"885,871",873,131
Municipios,AÑO,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2003,0,770,"468,270",0,"1,440"
Alcalà,2003,2,"1,676",0,428,"2,442"
Andalucia,2003,3,244,"643,367",710,473
Ansermanuevo,2003,0,"5,836","208,082","6,480","4,736"
Argelia,2003,0,"4,140",0,952,"4,518"
Bolivar,2003,22,"1,889","14,560","22,080","3,835"
Buenaventura,2003,0,0,0,"10,046","2,093"
Buga,2003,0,"1,063","639,540","4,830","4,444"
Bugalagrande,2003,2,"2,018","1,044,546","19,500","3,247"
Caicedonia,2003,0,"6,645",0,"1,260","15,850"
Candelaria,2003,0,0,"2,023,754","73,750",72
Cartago,2003,0,765,"225,855","3,385","1,626"
Dagua,2003,11,"1,341",0,"7,497","4,602"
Darièn,2003,0,515,0,"9,720","2,049"
El Aguila,2003,16,"5,469",0,"3,174","2,604"
El Cairo,2003,0,"4,098",0,"1,956","5,831"
El Cerrito,2003,0,196,"1,109,600","10,400","1,194"
El Dovio,2003,0,"1,064",0,"9,731","1,950"
Florida,2003,7,834,"1,118,070","9,200","2,553"
Ginebra,2003,0,851,"220,320",294,"1,043"
Guacarì,2003,0,553,"1,113,075","6,300","7,112"
Jamundì,2003,17,970,"383,112","1,548",350
La Cumbre,2003,0,935,0,232,"1,946"
La Unión,2003,0,594,"71,544",340,653
La Victoria,2003,1,535,"94,440","8,600","1,755"
Obando,2003,0,"1,183","203,616","4,125","3,839"
Palmira,2003,0,353,"3,272,147","1,620","6,156"
Pradera,2003,0,313,"1,093,819",0,130
Restrepo,2003,0,804,0,"14,085","3,439"
Riofrìo,2003,17,"3,394","343,560","4,420","9,081"
Roldanillo,2003,7,996,"122,625","4,100","1,243"
San Pedro,2003,0,409,"584,085","30,225","1,634"
Sevilla,2003,0,"7,641",0,"6,390","9,450"
Toro,2003,0,"1,491","62,047","1,239","2,135"
Trujillo,2003,0,"5,544","11,813",750,"4,149"
Tuluà,2003,4,"3,651","715,770","4,100","4,121"
Ulloa,2003,0,"1,183",0,0,657
Versalles,2003,0,"1,279",0,"18,450","2,478"
Vijes,2003,0,558,0,173,645
Yotoco,2003,0,"1,521","269,888",950,"4,646"
Yumbo,2003,0,471,"147,431",885,184
Zarzal,2003,0,0,"1,470,029","1,445",220
Municipios,AÑO,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2002,0,775,"474,100",0,"1,650"
Alcalà,2002,2,"2,527",0,160,"2,415"
Andalucia,2002,2,277,"714,852",585,465
Ansermanuevo,2002,0,"5,699","231,202","5,430","5,310"
Argelia,2002,0,"3,782",0,816,"3,573"
Bolivar,2002,20,"1,165","15,600","20,864","3,549"
Buenaventura,2002,0,0,0,"6,703","1,522"
Buga,2002,0,"1,123","693,110","4,200","4,345"
Bugalagrande,2002,1,"1,342","1,139,880","17,940","2,927"
Caicedonia,2002,0,"5,312",0,770,"15,448"
Candelaria,2002,0,0,"2,248,616","73,750",54
Cartago,2002,0,501,"250,950","3,224","1,626"
Dagua,2002,10,"1,399",0,"7,155","5,310"
Darièn,2002,0,558,0,"9,720","2,049"
El Aguila,2002,12,"7,367",0,"2,816","2,683"
El Cairo,2002,0,"1,887",0,"1,507","6,090"
El Cerrito,2002,0,216,"1,052,889","9,880","1,182"
El Dovio,2002,0,"1,242",0,"9,349","1,853"
Florida,2002,4,824,"1,313,000","8,400","2,424"
Ginebra,2002,0,837,"111,800",40,"1,043"
Guacarì,2002,0,527,"1,369,060","4,690","7,048"
Jamundì,2002,16,998,"393,680","1,505",311
La Cumbre,2002,0,870,0,187,"1,918"
La Unión,2002,0,738,"78,738",340,590
La Victoria,2002,0,580,"106,370","8,000","1,584"
Obando,2002,0,"1,227","205,200","3,245","3,619"
Palmira,2002,0,479,"3,667,893","1,620","2,160"
Pradera,2002,0,461,"1,236,491",0,130
Restrepo,2002,0,809,0,"13,860","2,856"
Riofrìo,2002,10,"4,765","360,833","3,055","8,667"
Roldanillo,2002,9,"1,468","137,500","3,950",723
San Pedro,2002,0,452,"580,487","27,755","1,409"
Sevilla,2002,0,"6,910",0,"1,440","8,820"
Toro,2002,0,"1,132","68,941","1,239","1,890"
Trujillo,2002,0,"5,371","13,236",625,"4,149"
Tuluà,2002,4,"3,472","769,500","3,150","3,926"
Ulloa,2002,0,"1,557",0,0,357
Versalles,2002,0,"1,335",0,"14,445","2,408"
Vijes,2002,0,569,0,173,600
Yotoco,2002,0,"1,446","304,792",950,"4,617"
Yumbo,2002,0,570,"155,012",885,176
Zarzal,2002,0,0,"1,359,997","1,105",190
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2001,0,746,"377,305",0,"1,550"
Alcalà,2001,2,"2,232",0,280,"2,907"
Andalucia,2001,2,311,"614,187",585,525
Ansermanuevo,2001,0,"5,621","154,187","4,860","5,022"
Argelia,2001,0,"4,145",0,816,"2,925"
Bolivar,2001,20,"1,241","13,706","20,864","3,640"
Buenaventura,2001,0,0,0,"4,900","1,522"
Buga,2001,0,"1,139","573,567","3,795","4,092"
Bugalagrande,2001,2,"1,547","995,474","17,520","2,552"
Caicedonia,2001,0,"6,307",0,350,"10,822"
Candelaria,2001,0,0,"1,956,390","73,750",113
Cartago,2001,0,581,"209,423","5,528","1,626"
Dagua,2001,5,937,0,"7,155","5,310"
Darièn,2001,0,608,0,"9,720","1,929"
El Aguila,2001,12,"7,672",0,"2,552","2,720"
El Cairo,2001,0,"4,414",0,"1,507","6,090"
El Cerrito,2001,0,219,"1,335,905","10,000","1,254"
El Dovio,2001,0,"1,244",0,"8,990","1,853"
Florida,2001,11,843,"1,153,548","5,460","1,744"
Ginebra,2001,0,854,"15,775",120,763
Guacarì,2001,0,561,"1,542,801","4,900","6,648"
Jamundì,2001,13,"1,056","280,267",900,311
La Cumbre,2001,0,978,0,187,"1,827"
La Unión,2001,0,744,"64,827",340,781
La Victoria,2001,0,663,"93,452","9,600","1,584"
Obando,2001,0,"1,292","170,265","2,365","3,729"
Palmira,2001,0,435,"3,192,415","1,620","2,496"
Pradera,2001,0,461,"1,086,331",0,130
Restrepo,2001,0,715,0,"13,860","3,036"
Riofrìo,2001,5,"6,326","318,270","2,925","7,722"
Roldanillo,2001,11,"1,622","109,820","3,800",580
San Pedro,2001,0,474,"526,064","27,625","1,508"
Sevilla,2001,0,"11,983",0,"10,500","5,544"
Toro,2001,0,"1,912","74,749","1,239","1,610"
Trujillo,2001,0,"5,310","10,660","1,035","4,131"
Tuluà,2001,2,"4,819","136,792","3,534","3,960"
Ulloa,2001,0,"1,722",0,0,254
Versalles,2001,0,"1,384",0,"9,200","2,450"
Vijes,2001,0,568,0,144,350
Yotoco,2001,0,"1,576","128,333",950,"4,524"
Yumbo,2001,0,547,"120,241",885,160
Zarzal,2001,0,0,"1,122,245","1,260",175
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2000,0,864,"440,000",0,"1,600"
Alcalà,2000,2,"2,217",0,600,"2,205"
Andalucia,2000,2,325,"595,328",585,525
Ansermanuevo,2000,0,"6,266","226,200","3,200","5,022"
Argelia,2000,0,"4,145",0,82,"2,925"
Bolivar,2000,19,"2,212","8,014","11,840","3,952"
Buenaventura,2000,0,0,0,"4,900","1,513"
Buga,2000,0,"1,168","671,110","3,657","3,575"
Bugalagrande,2000,1,"1,722","1,121,520","17,100","3,206"
Caicedonia,2000,0,"6,185",0,210,"27,807"
Candelaria,2000,0,0,"2,215,828","72,983",176
Cartago,2000,0,"1,431","238,371",160,"3,700"
Dagua,2000,5,"1,863",0,"5,400","4,635"
Darièn,2000,0,810,0,"5,700","1,278"
El Aguila,2000,12,"7,328",0,"2,400","2,400"
El Cairo,2000,0,"2,345",0,"1,600","6,090"
El Cerrito,2000,0,228,"1,509,378","9,520","1,254"
El Dovio,2000,0,"1,490",0,"8,206","1,980"
Florida,2000,8,"1,277","1,300,000","7,650","4,620"
Ginebra,2000,0,888,"343,232",120,560
Guacarì,2000,0,559,"1,383,760","6,300","6,800"
Jamundì,2000,5,"1,812","319,008",600,150
La Cumbre,2000,0,"1,158",0,"1,560","3,380"
La Unión,2000,0,654,"57,871",340,191
La Victoria,2000,0,"1,274","101,535","12,000","1,584"
Obando,2000,0,"1,315","184,110",715,"3,146"
Palmira,2000,0,435,"3,562,375","1,026","2,592"
Pradera,2000,0,488,"1,146,659",0,130
Restrepo,2000,0,"2,793",0,"33,865","3,156"
Riofrìo,2000,4,"5,834","280,390","2,600","8,410"
Roldanillo,2000,4,"1,602","78,100","2,700",853
San Pedro,2000,0,470,"503,580","26,975","1,170"
Sevilla,2000,0,"7,542",0,"13,500","5,544"
Toro,2000,0,"2,407","110,469","1,239","1,890"
Trujillo,2000,0,"7,147","12,133","1,725","3,902"
Tuluà,2000,2,"4,971","1,461,438","4,968","3,987"
Ulloa,2000,0,"2,264",0,0,171
Versalles,2000,0,798,0,"9,200","2,450"
Vijes,2000,0,776,0,540,500
Yotoco,2000,0,"1,565","304,792","1,260","4,611"
Yumbo,2000,0,548,"136,048",826,280
Zarzal,2000,0,0,"1,472,759","1,560",180
TOTAL,2019,"1,414.26","69,546.40","23,276,295.60","314,827.00","260,278.05"
,2019,0.00,0.00,0.00,0.00,0.00
Cali,2019,0.00,799.80,"465,000.00",0.00,198.00
Alcalà,2019,12.00,"2,666.20",0.00,0.00,"12,540.00"
Andalucia,2019,50.00,202.48,"385,700.00",0.00,"1,680.00"
Ansermanuevo,2019,28.30,"3,238.07","222,450.00","7,700.00","7,086.30"
Argelia,2019,4.80,"2,205.00",0.00,"1,824.00","11,004.00"
Bolivar,2019,366.00,"1,307.00","71,520.00","14,464.00","5,174.00"
Buenaventura,2019,80.50,0.00,0.00,"2,700.00","1,232.00"
Buga,2019,5.00,446.00,"895,390.00","1,260.00",156.00
Bugalagrande,2019,86.00,"1,520.40","1,118,130.00","16,275.00","2,024.00"
Caicedonia,2019,58.50,"6,073.00","13,750.00",0.00,"23,594.00"
Calima Darién,2019,1.20,443.00,0.00,"7,160.00","1,672.00"
Candelaria,2019,2.00,0.00,"2,752,360.00","74,425.00",69.00
Cartago,2019,5.60,221.52,"533,755.60",960.00,"1,548.00"
Dagua,2019,284.00,722.33,0.00,"6,540.00","16,560.00"
El Aguila,2019,16.00,"7,150.72",0.00,"2,400.00","16,170.00"
El Cairo,2019,0.00,"4,033.80",0.00,"6,000.00","23,745.00"
El Cerrito,2019,0.00,161.00,"2,035,800.00",0.00,0.00
El Dovio,2019,28.00,660.00,0.00,"4,170.00","1,045.00"
Florida,2019,16.00,"4,419.00","1,315,600.00",0.00,"3,252.00"
Ginebra,2019,0.00,"1,133.60","356,400.00","1,600.00",392.00
Guacarì,2019,1.20,300.80,"1,683,968.00","3,780.00",420.00
Jamundì,2019,141.75,"1,117.40","828,630.00","3,060.00",476.50
La Cumbre,2019,0.00,666.60,0.00,332.50,"2,262.65"
La Unión,2019,2.31,478.10,"229,120.00",0.00,308.80
La Victoria,2019,23.00,506.00,"170,100.00","1,600.00",640.00
Obando,2019,0.00,"2,110.00","643,550.00","31,590.00","1,582.00"
Palmira,2019,0.00,380.70,"4,407,000.00","12,460.00","1,416.00"
Pradera,2019,1.00,536.40,"1,157,750.00",0.00,100.00
Restrepo,2019,0.00,483.58,0.00,"22,425.00","3,941.50"
Riofrìo,2019,79.00,"3,801.98","252,000.00","9,680.00","30,152.00"
Roldanillo,2019,4.70,631.44,"339,912.50",540.00,966.00
San Pedro,2019,0.00,399.12,"599,440.00","32,330.00",0.00
Sevilla,2019,18.00,"7,484.40","8,000.00","4,750.00","40,830.00"
Toro,2019,7.20,"1,505.00","223,740.00",0.00,"1,280.00"
Trujillo,2019,17.55,"4,065.24","12,701.50","4,002.00","27,816.00"
Tuluà,2019,37.00,"4,110.00","766,590.00",700.00,"4,230.00"
Ulloa,2019,22.50,735.50,0.00,0.00,"2,346.00"
Versalles,2019,10.80,"1,086.21",0.00,"37,280.00","2,888.40"
Vijes,2019,0.00,496.00,"16,500.00",0.00,"1,232.00"
Yotoco,2019,1.40,"1,069.90","308,880.00","1,360.00","7,952.00"
Yumbo,2019,0.60,179.10,"213,888.00",199.50,253.50
Zarzal,2019,2.35,0.00,"1,248,670.00","1,260.00",43.40
